Cruise,Element,Median,Stdev
GA01,Al,1.54889446657972,1.12719344634479
GA01,Ba,1.41130627054668,1.5123669459183
GA01,Cd,1.55797010325772,2.37994255543445
GA01,Co,1.4529722811324,1.01642751553545
GA01,Cu,1.28102178162687,0.730535807088224
GA01,Fe,1.27782885229759,0.87983515938634
GA01,Mn,1.33727258591199,2.08087283341844
GA01,P,1.80419209930491,1.81737948027682
GA01,Pb,1.48552135143946,2.24134333014795
GA01,Ti,1.48360182077638,2.85695414250655
GA01,V,1.46446061365952,2.41010073255587
GA03,Al,1.04399688340895,0.62353555436786
GA03,Cd,0.940979232025116,0.767241688618138
GA03,Co,1.15208475799623,0.605786218743506
GA03,Fe,1.03861353116411,0.561069939052096
GA03,Mn,1.09852508714797,0.503967275052568
GA03,P,1.64097741929585,0.730131132995282
GA03,Ti,1.04526583937008,1.12678365488153
GN01,Al,1.84063737544628,278.550214013913
GN01,Ba,1.49177530685927,2.04383239507695
GN01,Cd,1.19212255787856,8.27827821891043
GN01,Co,1.28535438954743,2.15753050839638
GN01,Cu,1.23782399466946,0.749341347217273
GN01,Fe,2.04133378855467,64.620810596294
GN01,Mn,1.29945782959515,2.99226875294033
GN01,P,1.69579619921841,32.5734662937401
GN01,Pb,1.48068608889768,5.92223438433556
GN01,Th,1.48514235925039,9.9812123987257
GN01,Ti,1.41922769683674,13.4660635048964
GN01,V,1.60858392619491,61.0230340016746
GP16,Al,1.21465392233147,2.8437632471528
GP16,Cd,1.25587172538392,3.0440384483342
GP16,Co,1.18171149274681,0.397471940004082
GP16,Cu,1.14713149697097,0.50852861005862
GP16,Fe,1.15075909647812,1.08518894311857
GP16,Mn,1.22492115169397,0.471125313466412
GP16,Nd,1.22562590768386,0.551276093515627
GP16,Ni,1.08369968055953,0.674296301577252
GP16,P,1.5662130439197,0.737047804978777
GP16,Pb,1.78580118154903,9.86112242008388
GP16,Th,1.71269379844961,14.8523858915102
GP16,Ti,0.978829063707074,4.70174161249636
GP16,V,0.982781918232202,0.519268586606345
GP16,Y,1.11736157275706,4.88105410793182
